Date,Close,Open,High,Low,Change
1994-04-04,92.98,92.74,92.98,92.74,0.0016
1994-04-05,92.98,92.74,92.98,92.74,0.0
1994-04-06,92.94,92.71,92.94,92.71,-0.0004
1994-04-07,93.09,92.8,93.09,92.8,0.0016
1994-04-08,93.11,92.87,93.11,92.87,0.0002
1994-04-11,93.09,92.84,93.09,92.84,-0.0002
1994-04-12,93.05,92.81,93.05,92.81,-0.0004
1994-04-13,92.97,92.73,92.97,92.73,-0.0009
1994-04-14,92.91,92.67,92.91,92.67,-0.0006
1994-04-15,92.87,92.68,92.87,92.68,-0.0004
2000-01-03,136.17,136.11,136.17,136.11,0.46619999999999995
2000-01-04,135.57,135.51,135.57,135.51,-0.0044
2000-01-05,137.02,136.96,137.02,136.96,0.010700000000000001
2000-01-06,138.44,138.41,138.44,138.41,0.0104
2000-01-07,137.39,137.33,137.39,137.33,-0.0076
2000-01-10,136.88,136.85,136.88,136.85,-0.0037
2000-01-11,138.41,138.29,138.41,138.29,0.011200000000000002
2000-01-12,138.2,138.17,138.2,138.17,-0.0015
2000-01-13,137.11,137.08,137.11,137.08,-0.0079
2000-01-14,135.81,135.75,135.81,135.75,-0.0095
2000-01-17,135.34,135.28,135.34,135.28,-0.0034999999999999996
2000-01-18,136.06,136.0,136.06,136.0,0.0053
2000-01-19,136.9,136.84,136.9,136.84,0.0062
2000-01-20,135.94,135.88,135.94,135.88,-0.006999999999999999
2000-01-21,136.18,136.12,136.18,136.12,0.0018
2000-01-24,135.8,135.77,135.8,135.77,-0.0028000000000000004
2000-01-25,136.13,136.13,136.13,136.13,0.0024
2000-01-26,136.2,136.16,136.2,136.16,0.0005
2000-01-27,135.9,135.9,135.9,135.9,-0.0022
2000-01-28,135.36,135.3,135.36,135.3,-0.004
2000-01-31,135.73,135.67,135.73,135.67,0.0027
2000-02-01,136.09,136.03,136.09,136.03,0.0027
2000-02-02,136.58,136.52,136.58,136.52,0.0036
2000-02-03,136.5,136.44,136.5,136.44,-0.0006
2000-02-04,136.43,136.37,136.43,136.37,-0.0005
2000-02-07,136.4,136.35,136.4,136.35,-0.0002
2000-02-08,136.4,136.37,136.4,136.37,0.0
2000-02-09,135.71,135.65,135.71,135.65,-0.0051
2000-02-10,135.35,135.29,135.35,135.29,-0.0027
2000-02-11,134.68,134.68,134.68,134.68,-0.005
2000-02-14,136.21,136.15,136.21,136.15,0.011399999999999999
2000-02-15,136.15,136.03,136.15,136.03,-0.0004
2000-02-16,135.97,135.91,135.97,135.91,-0.0013
2000-02-17,136.28,136.28,136.28,136.28,0.0023
2000-02-18,136.4,136.4,136.4,136.4,0.0009
2000-02-21,136.82,136.76,136.82,136.76,0.0031
2000-02-22,137.06,137.0,137.06,137.0,0.0018
2000-02-23,137.17,137.11,137.17,137.11,0.0008
2000-02-24,138.14,138.08,138.14,138.08,0.0070999999999999995
2000-02-25,137.28,137.22,137.28,137.22,-0.0062
2000-02-28,137.04,136.98,137.04,136.98,-0.0017000000000000001
2000-02-29,136.63,136.61,136.63,136.61,-0.003
2000-03-01,136.25,136.19,136.25,136.19,-0.0028000000000000004
2000-03-02,135.26,135.17,135.26,135.17,-0.0073
2000-03-03,135.28,135.22,135.28,135.22,0.0001
2000-03-06,135.23,135.17,135.23,135.17,-0.0004
2000-03-07,135.12,135.11,135.12,135.11,-0.0008
2000-03-08,135.18,135.17,135.18,135.17,0.0004
2000-03-09,135.59,135.53,135.59,135.53,0.003
2000-03-10,135.23,135.17,135.23,135.17,-0.0027
2000-03-13,135.36,135.3,135.36,135.3,0.001
2000-03-14,135.09,135.08,135.09,135.08,-0.002
2000-03-15,135.1,135.08,135.1,135.08,0.0001
2000-03-16,135.0,134.94,135.0,134.94,-0.0007000000000000001
2000-03-17,134.96,134.95,134.96,134.95,-0.0003
2000-03-20,135.05,135.03,135.05,135.03,0.0007000000000000001
2000-03-21,134.87,134.81,134.87,134.81,-0.0013
2000-03-22,134.42,134.39,134.42,134.39,-0.0033
2000-03-23,134.05,134.02,134.05,134.02,-0.0028000000000000004
2000-03-24,133.89,133.83,133.89,133.83,-0.0012
2000-03-27,134.32,134.31,134.32,134.31,0.0032
2000-03-28,134.34,134.31,134.34,134.31,0.0001
2000-03-29,133.99,133.97,133.99,133.97,-0.0026
2000-03-30,133.75,133.72,133.75,133.72,-0.0018
2000-03-31,133.51,133.48,133.51,133.48,-0.0018
2000-04-03,134.39,134.35,134.39,134.35,0.0066
2000-04-04,134.5,134.43,134.5,134.43,0.0008
2000-04-05,134.67,134.61,134.67,134.61,0.0013
2000-04-06,134.25,134.19,134.25,134.19,-0.0031
2000-04-07,133.88,133.7,133.88,133.7,-0.0028000000000000004
2000-04-10,134.06,134.0,134.06,134.0,0.0013
2000-04-11,134.04,134.01,134.04,134.01,-0.0001
2000-04-12,133.85,133.82,133.85,133.82,-0.0014000000000000002
2000-04-13,133.64,133.58,133.64,133.58,-0.0016
2000-04-14,134.2,134.19,134.2,134.19,0.0042
2000-04-17,134.49,134.43,134.49,134.43,0.0022
2000-04-18,134.13,134.07,134.13,134.07,-0.0027
2000-04-19,134.0,133.98,134.0,133.98,-0.001
